doc_id,title,policy_type,region,issuer,start_date,end_date,eligibility_text,benefit_text,required_docs_text,apply_url,full_text
"SHC-BURDENREDUCTION-2025-01","소상공인 부담경감 크레딧","efficiency|liquidity","전국|서울특별시|성동구","신한카드","2025-07-14","2025-11-28","연매출 3억원 이하 소상공인 (2025년 5월 1일 이전 개업, 유흥·사행업 제외)","1인당 50만원 크레딧 지급(4대보험·공과금·유류비 등 사용 가능)","사업자등록증, 매출증빙서류","https://www.shinhancard.com/pconts/html/benefit/fund2/MOBFM735/MOBFM73501.html","고정비 부담 완화를 위해 소상공인에게 50만원 크레딧 지급 지원."
"SHB-DELIVERY-2025-01","땡겨요 이차보전대출","liquidity|acquisition","전국|서울특별시|성동구","신한은행","2025-08-02","2025-12-31","배달앱 ‘땡겨요’ 가맹 소상공인","저금리 운영자금 대출, 보증 연계, 지자체 이자 지원","땡겨요 가맹점 확인서, 사업자등록증","https://www.handmk.com/news/articleView.html?idxno=32559","신한은행이 배달앱 ‘땡겨요’ 가맹 소상공인에게 운영자금 및 보증 지원 제공."
"SHB-INTERESTREFUND-2025-01","소상공인 이자 환급 프로그램","liquidity","전국|서울특별시","신한은행","2025-07-10","2025-12-31","신한은행 거래 소상공인 약 28만 명","총 1,953억 원 이자 환급 지급","별도 신청 불필요, 은행 자체 시행","https://www.mk.co.kr/news/special-edition/11445308","고금리 부담을 덜기 위해 이자 환급 프로그램 시행."
"SHB-YELLOWUMBRELLA-2025-01","노란우산 상생지원 패키지","loyalty|liquidity","전국|서울특별시","신한은행","2025-07-05","2025-12-31","노란우산 신규가입 소상공인","상생지원금 10만원 및 협약보증대출 혜택","노란우산 가입 확인서","https://www.smedaily.co.kr/news/articleView.html?idxno=333505","노란우산 신규가입 소상공인에게 상생지원금 지급."
"SHB-SUCCESS-2025-01","성공 두드림 세미나","consulting|education","서울특별시|성동구","신한은행","2025-09-01","2025-11-30","성동구 소상공인 및 자영업자","금융·세무 컨설팅, 네트워킹 기회 제공","참가 신청서","https://www.smedaily.co.kr/news/articleView.html?idxno=339135","신한은행이 지역 신용보증재단과 함께 소상공인 대상 성공 세미나 개최."
"SHB-POLICYLOAN-2025-01","소상공인 정책자금 대출","liquidity|guarantee","전국","신한은행","2025-07-30","2025-12-31","소상공인시장진흥공단 정책자금 대출 연계 가능 사업자","저금리 정책자금 연계, 보증 지원","소상공인 정책자금 확인서","https://bank.shinhan.com/index.jsp?cr=020308100000","소상공인시장진흥공단 정책자금과 연계한 대출 상품 운영."
"SHB-SANGSAENG-2025-01","상생가게 지원사업","loyalty|consulting","서울특별시|성동구","신한은행","2025-08-15","2025-12-31","나눔·상생 활동 참여 소상공인","금융지원 및 브랜드 홍보 기회 제공","상생 활동 증빙자료","https://www.mk.co.kr/news/special-edition/11445308","소상공인의 상생 활동을 지원하는 금융·마케팅 프로그램."
"SHB-COSTREDUCTION-2025-01","소상공인 수수료 우대 프로그램","efficiency|cost-reduction","서울특별시|성동구","신한은행","2025-08-20","2025-12-31","신한은행 가맹점 소상공인","결제수수료 인하 및 정산주기 단축","별도 신청 불필요","https://example.com/shb/fee","신한 가맹점 대상 결제 수수료 인하 프로그램."
"SHB-DIGITAL-2025-01","디지털 전환 지원 컨설팅","consulting|efficiency","서울특별시|성동구","신한은행","2025-09-10","2025-12-31","성동구 소상공인","POS·온라인 결제 전환 컨설팅, 데이터 지원","컨설팅 신청서","https://www.sd.go.kr/","성동구 소상공인 디지털 전환 및 상권 데이터 활용 지원."
"SHB-CONSULT-2025-01","SOHO 컨설팅 프로그램","consulting|education","서울특별시|성동구","신한은행","2025-09-15","2025-12-31","신한 SOHO 플랫폼 가입 소상공인","경영 컨설팅, 상권분석 리포트 제공","플랫폼 가입 신청","https://example.com/shb/soho","신한 SOHO 컨설팅 및 상권 데이터 리포트 지원 프로그램."
"SD-FUND-2025-H2","2025년 하반기 성동구 중소기업육성기금 융자","low-interest|liquidity","서울특별시|성동구","성동구청","2025-09-01","2025-09-12","성동구 내 사업자등록 후 6개월 경과한 소상공인 (세금 체납, 신용불량 등 제외)","소상공인 최대 1억원 이내 저금리(연 1.5%) 융자 지원. (1년 거치 3년 균등분할상환)","융자신청서, 사업계획서, 사업자등록증, 임대차계약서 등","http://www.sd.go.kr/","성동구청에서 직접 운영하는 초저금리 융자 지원. 은행(신한,우리 등)과 신용보증재단 사전 상담 후 구청 지역경제과 방문 신청."
"SD-GUARANTEE-2025-01","성동형 특별신용보증 융자지원","guarantee|low-interest","서울특별시|성동구","성동구청","2025-02-10","예산 소진시까지","성동구 내 사업자등록 후 6개월 경과한 소상공인 (서울신용보증재단에 기존 대출 없는 경우)","최대 5,000만원 한도 내에서 2%대 변동금리 융자 (성동구가 이자 1.5% 지원). 담보는 서울신용보증재단 신용보증서.","신분증, 사업자등록증, 매출신고 자료","https://www.sd.go.kr/","서울신용보증재단 성동지점 방문 상담 및 신청. 일반 융자보다 조건이 완화된 특별 보증 상품."
"SEOUL-INSURANCE-2025-01","서울시 자영업자 고용보험료 지원","labor-cost|stabilization","서울특별시","서울특별시","2025-02-25","예산 소진시까지","'자영업자 고용보험'에 가입한 서울시 소재 소상공인","납부한 고용보험료의 20%를 환급 지원하여 사회안전망 강화","고용보험 가입 증명, 환급계좌 정보","https://www.seoulsbdc.or.kr","영세 소상공인의 고용보험료 부담을 덜어주어 고용 안정을 돕는 서울시 지원 사업."
"SEOUL-CLOSING-2025-01","새 길 여는 폐업지원 사업","re-challenge|consulting","서울특별시","서울특별시","2025-02-24","예산 소진시까지","폐업 예정인 서울시 소재 소상공인 (기폐업자 지원 불가)","사업정리 컨설팅, 점포 철거비(최대 300만원) 지원, 재기 장려금 등 종합 지원.","폐업 예정 증빙, 사업자등록증 등","https://www.seoulsbdc.or.kr","폐업 과정의 부담을 줄이고 재취업 또는 재창업을 돕기 위한 서울시의 원스톱 폐업 지원 프로그램."
"GOV-POLICYLOAN-2025-01","소상공인 정책자금 융자 (일반경영안정자금)","low-interest|liquidity","전국","중소벤처기업부","2025-01-02","예산 소진시까지","업력 90일 이상 소상공인 (세금 체납, 금융기관 연체 등 제외)","연 3~4%대 저금리 운전자금 대출 (기관 및 신용도에 따라 변동)","사업자등록증, 소상공인 정책자금 확인서 등","https://ols.semas.or.kr","정부에서 직접 지원하는 대표적인 저금리 융자 상품. 소상공인정책자금 사이트에서 온라인으로 신청."
"GOV-HOPE-2025-01","희망리턴패키지 (재창업 지원)","re-challenge|education","전국","중소벤처기업부","2025-01-01","상시","폐업 이력이 있는 예비 재창업자 또는 업종전환 예정 소상공인","재창업 사업화 자금 최대 2,000만원 지원 (자기부담금 일부 포함), 전문가 멘토링 및 교육 제공","폐업사실증명원, 사업계획서 등","https://hope.sbiz.or.kr","폐업 후 재기를 꿈꾸는 소상공인에게 교육, 컨설팅, 사업화 자금을 패키지로 지원하는 정부 사업."
"GOV-DELIVERYFEE-2025-01","영세 소상공인 배달·택배비 지원","cost-reduction|efficiency","전국","중소벤처기업부","2025-01-01","2025-12-31","연매출 1.04억원 미만의 영세 소상공인 (한시적 지원)","소상공인이 부담하는 배달비 및 택배비 일부를 정부가 지원하여 경영 부담 완화","매출 증빙자료, 배달/택배 계약서 등","https://www.bizinfo.go.kr","2025년 한시적으로 시행되는 영세 소상공인 대상 물류비 부담 경감 정책."